         ns       /testbench/out_x          /testbench/out_z      
          delta                /testbench/out_y                   
          0  +0                  x            x            x 
         10  +2           -1048576       104857     26214400 
         50  +2           -1003521        92159     25940923 
         70  +2            -960721        79016     25670360 
         90  +2            -920107        65501     25402677 
        110  +2            -881607        51680     25137841 
        130  +2            -845151        37611     24875818 
        150  +2            -810669        23345     24616576 
        170  +2            -778091         8928     24360082 
        190  +2            -747349        -5601     24106305 
        210  +2            -718375       -20207     23855213 
        230  +2            -691103       -34861     23606775 
        250  +2            -665469       -49538     23360960 
        270  +2            -641410       -64217     23117739 
        290  +2            -618864       -78882     22877082 
        310  +2            -597771       -93521     22638960 
        330  +2            -578074      -108123     22403345 
        350  +2            -559717      -122683     22170209 
        370  +2            -542646      -137196     21939525 
        390  +2            -526809      -151661     21711265 
        410  +2            -512155      -166080     21485403 
        430  +2            -498637      -180456     21261913 
        450  +2            -486209      -194795     21040770 
        470  +2            -474826      -209103     20821948 
        490  +2            -464447      -223390     20605422 
        510  +2            -455031      -237665     20391168 
        530  +2            -446541      -251941     20179162 
        550  +2            -438940      -266230     19969381 
        570  +2            -432194      -280546     19761802 
        590  +2            -426271      -294904     19556401 
        610  +2            -421140      -309321     19353156 
        630  +2            -416773      -323813     19152045 
        650  +2            -413142      -338398     18953047 
        670  +2            -410223      -353094     18756140 
        690  +2            -407992      -367920     18561303 
        710  +2            -406427      -382896     18368515 
        730  +2            -405508      -398043     18177756 
        750  +2            -405217      -413381     17989005 
        770  +2            -405536      -428932     17802243 
        790  +2            -406450      -444718     17617451 
        810  +2            -407945      -460761     17434609 
        830  +2            -410009      -477085     17253698 
        850  +2            -412630      -493713     17074700 
        870  +2            -415798      -510670     16897597 
        890  +2            -419504      -527980     16722371 
        910  +2            -423742      -545668     16549004 
        930  +2            -428505      -563760     16377479 
        950  +2            -433789      -582283     16207780 
        970  +2            -439590      -601263     16039889 
        990  +2            -445906      -620728     15873791 
       1010  +2            -452735      -640706     15709470 
       1030  +2            -460078      -661227     15546910 
       1050  +2            -467936      -682319     15386096 
       1070  +2            -476311      -704014     15227013 
       1090  +2            -485206      -726342     15069647 
       1110  +2            -494626      -749336     14913984 
       1130  +2            -504576      -773028     14760010 
       1150  +2            -515063      -797453     14607712 
       1170  +2            -526094      -822645     14457078 
       1190  +2            -537679      -848640     14308095 
       1210  +2            -549826      -875475     14160752 
       1230  +2            -562547      -903188     14015037 
       1250  +2            -575854      -931818     13870939 
       1270  +2            -589759      -961406     13728449 
       1290  +2            -604277      -991994     13587556 
       1310  +2            -619423     -1023625     13448252 
       1330  +2            -635213     -1056344     13310528 
       1350  +2            -651664     -1090197     13174376 
       1370  +2            -668795     -1125232     13039789 
       1390  +2            -686625     -1161498     12906761 
       1410  +2            -705175     -1199047     12775286 
       1430  +2            -724467     -1237932     12645360 
       1450  +2            -744525     -1278207     12516978 
       1470  +2            -765372     -1319930     12390138 
       1490  +2            -787035     -1363160     12264837 
       1510  +2            -809540     -1407958     12141075 
       1530  +2            -832916     -1454387     12018851 
       1550  +2            -857193     -1502514     11898167 
       1570  +2            -882401     -1552406     11779025 
       1590  +2            -908574     -1604135     11661429 
       1610  +2            -935745     -1657774     11545385 
       1630  +2            -963950     -1713400     11430899 
       1650  +2            -993226     -1771091     11317979 
       1670  +2           -1023612     -1830930     11206636 
       1690  +2           -1055148     -1893002     11096882 
       1710  +2           -1087877     -1957396     10988730 
       1730  +2           -1121843     -2024203     10882196 
       1750  +2           -1157092     -2093519     10777299 
       1770  +2           -1193672     -2165443     10674059 
       1790  +2           -1231632     -2240077     10572500 
       1810  +2           -1271025     -2317528     10472647 
       1830  +2           -1311905     -2397907     10374530 
       1850  +2           -1354327     -2481328     10278181 
       1870  +2           -1398351     -2567909     10183635 
       1890  +2           -1444037     -2657774     10090932 
       1910  +2           -1491449     -2751050     10000115 
       1930  +2           -1540653     -2847870      9911232 
       1950  +2           -1591717     -2948371      9824335 
       1970  +2           -1644712     -3052694      9739480 
       1990  +2           -1699712     -3160986      9656731 
       2010  +2           -1756794     -3273399      9576155 
       2030  +2           -1816037     -3390090      9497826 
